# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	1.8241
1,	4.8884
2,	7.8291
2,	11.1164
3,	13.9545
2,	18.1775
1,	21.4104
3,	24.7870
1,	28.7758
1,	32.0280
3,	35.2795
3,	39.3053
3,	43.2271
2,	47.1825
2,	50.7084
1,	54.1531
3,	57.0924
2,	61.5693
2,	65.3936
1,	68.9358
3,	72.0989
