# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	2.6564
1,	4.1890
1,	5.9875
2,	8.0704
2,	10.2684
1,	12.3109
2,	14.0972
1,	15.9488
2,	18.3144
1,	20.2941
1,	22.7252
2,	24.7456
2,	26.9308
1,	29.1261
1,	31.1353
1,	33.1910
1,	35.4567
2,	37.5834
2,	39.8111
2,	41.7650
1,	43.7916
1,	46.0065
