# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	0.9796
1,	3.4570
1,	6.0189
1,	8.3115
2,	10.9067
2,	13.6132
1,	16.1995
1,	19.0623
1,	21.7275
2,	24.1208
2,	26.7936
1,	29.5973
2,	31.8686
1,	34.2601
2,	36.4699
2,	38.8145
2,	41.0227
2,	43.7691
1,	46.2215
1,	48.7092
2,	50.7153
2,	53.2983
1,	55.7801
1,	58.1368
2,	60.4834
2,	62.9896
1,	65.4059
1,	67.9442
2,	70.2860
2,	72.7738
2,	75.0055
1,	77.4186
