# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	2.6613
2,	4.8040
1,	6.8802
2,	9.0120
2,	11.4331
1,	13.3989
1,	15.3075
2,	17.2199
2,	19.2383
1,	21.1200
2,	23.0520
1,	25.2749
1,	27.2776
2,	29.2883
1,	30.8871
1,	33.1407
1,	35.4697
2,	37.5795
2,	39.7673
2,	41.8079
2,	43.9417
1,	45.8436
1,	47.7764
2,	49.6586
1,	51.5083
1,	53.1885
2,	54.9565
