# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
2,	1.7713
2,	4.4207
1,	7.0690
1,	9.7662
1,	12.6241
2,	15.1559
2,	18.0711
1,	20.6573
2,	23.4002
2,	26.2545
2,	28.8913
1,	31.2970
1,	33.7091
2,	36.6107
2,	39.5090
2,	42.1321
1,	44.7323
1,	47.4278
1,	50.0544
2,	52.5528
2,	55.3948
1,	57.7370
