# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	2.5753
2,	6.6550
3,	9.5612
3,	13.3812
1,	17.2148
2,	20.9675
2,	24.7924
3,	27.7423
3,	31.0013
1,	34.0168
1,	37.0704
1,	40.3052
2,	43.1888
3,	46.5896
2,	49.5044
1,	52.3963
1,	55.5395
2,	58.5351
2,	61.6492
1,	64.7718
3,	68.2132
2,	71.4077
2,	74.8853
1,	78.1365
2,	80.9742
2,	84.6384
3,	87.9297
