DN_HistogramMode_5,SB_BinaryStats_mean_longstretch1,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,SP_Summaries_welch_rect_area_5_1,labels
0.4967116142552146,335.0,0.4594594594594595,-0.2593333333333333,0.9987622891416812,L
0.5112994092150696,494.0,0.38414634146341464,0.3863333333333333,0.9989054879566357,L
-0.2779744477639673,347.0,0.4107142857142857,0.06400000000000006,0.9988467121459107,R
-0.24208764144855122,366.0,0.42168674698795183,0.1166666666666667,0.9992248823386464,R
0.6816873212125352,402.0,0.38311688311688313,-0.06866666666666665,0.9991497557116732,L
-0.25827765781937806,365.0,0.4662576687116564,0.14733333333333332,0.9992332015184757,R
0.5260516936243662,513.0,0.37790697674418605,-0.3417721518987342,0.9991536896192615,L
-0.21569227965902643,335.0,0.4591194968553459,0.03866666666666663,0.999180585236109,R
-0.025179249611847088,311.0,0.5974025974025974,0.22333333333333338,0.9992319160234339,R
0.4898023350804672,590.0,0.32967032967032966,-0.47866666666666663,0.9990727749800814,L
0.46604224649138515,527.0,0.29310344827586204,-0.46266666666666667,0.9991160400160664,L
-0.2891133053052076,292.0,0.6013986013986014,-0.01533333333333331,0.9992191062109042,R
-0.41139047354713804,336.0,0.5448717948717948,0.15066666666666673,0.9992410410710063,R
0.6139059351097154,536.0,0.3652694610778443,-0.30400000000000005,0.9990742782380776,L
0.6254471800898744,532.0,0.5094339622641509,-0.42400000000000004,0.9991034178164608,L
0.37865408208582363,312.0,0.7197452229299363,-0.007333333333333303,0.9991900824305818,R
-0.1407486050683927,277.0,0.6423357664233577,-0.010000000000000009,0.9992386384220145,R
-0.19200550808420425,431.0,0.25668449197860965,-0.4766666666666667,0.9989854321724129,L
-0.331475602591606,323.0,0.4968152866242038,-0.004666666666666708,0.9991801636360117,R
0.5983139144620757,469.0,0.01694915254237288,-0.30366666666666664,0.9983722415706403,L
-0.4422498250539324,454.0,0.43870967741935485,-0.21133333333333337,0.999118341099951,L
-0.2619138822450353,341.0,0.023255813953488372,-0.45066666666666666,0.998375654133118,L
-0.323163946683644,367.0,0.4166666666666667,0.1286666666666667,0.9991285741567156,R
-0.3045548122865203,358.0,0.4226190476190476,-0.16933333333333334,0.9991360020370558,R
-0.4540894719102965,350.0,0.017857142857142856,-0.16600000000000004,0.9970247389966271,R
-0.15091750298180373,463.0,0.0872093023255814,-0.31733333333333336,0.9989683842731463,L
-0.3399697319014947,460.0,0.3372093023255814,-0.5053333333333334,0.999180430418688,L
-0.42832570320924357,326.0,0.018518518518518517,0.026666666666666616,0.9985641944394059,L
-0.38754711155862753,317.0,0.3167701863354037,-0.02400000000000002,0.9989693320309808,L
0.3023285368655766,454.0,0.43790849673202614,-0.32233333333333336,0.9991687032745769,R
0.3587107396858691,496.0,0.4782608695652174,0.3859999999999999,0.9991985930524426,R
0.45471477668696303,273.0,0.02142857142857143,-0.002333333333333354,0.998627510558543,L
0.09781988829945543,485.0,0.5671641791044776,0.1100000000000001,0.9990892372366044,R
