100,data8,0.0256,0.0105,0.0044,3.5066,0.6646,0.0008
100,data3,0.076,0.0965,0.0377,3.3439,0.5268,0.0026
100,data1,0.0445,0.0348,0.0165,3.1001,0.4238,0.0013
100,data2,0.1366,0.1356,0.0564,3.2523,0.4443,0.0038
100,data6,0.0006,0.0179,0.0034,3.5954,0.5624,0.0011
100,data4,0.1857,0.169,0.0745,3.5042,0.5255,0.0056
200,data8,0.2258,0.0715,0.0626,3.494,1.2155,0.0146
200,data3,0.1653,0.0095,0.0302,3.3736,0.9614,0.0052
200,data1,0.1524,0.0163,0.0329,3.1429,0.9179,0.0034
200,data2,0.1212,0.0544,0.032,3.2971,0.9782,0.01
200,data6,0.2303,0.0362,0.0553,3.5928,1.0612,0.0128
200,data4,0.1897,0.0306,0.0455,3.4049,0.9091,0.0025
300,data8,0.4308,0.1332,0.1093,3.373,1.6954,0.0241
300,data3,0.3649,0.1363,0.0991,3.3074,1.4535,0.0205
300,data1,0.2858,0.1062,0.0715,2.9564,1.4319,0.0123
300,data2,0.2545,0.0843,0.0688,3.2027,1.3421,0.0158
300,data6,0.4607,0.1066,0.1084,3.4897,1.595,0.0216
300,data4,0.3939,0.0903,0.0888,3.313,1.33,0.0136
400,data8,0.6253,0.1523,0.1524,3.2078,2.0821,0.0221
400,data3,0.588,0.188,0.146,3.2425,1.8871,0.0189
400,data1,0.4378,0.1177,0.1076,2.8564,1.7844,0.0113
400,data2,0.4244,0.1435,0.1096,3.064,1.7863,0.0147
400,data6,0.657,0.138,0.1497,3.3822,1.9636,0.0202
400,data4,0.5597,0.1146,0.1245,3.2141,1.7064,0.0127
500,data8,0.8084,0.2319,0.2001,3.0336,2.4139,0.0302
500,data3,0.7507,0.2782,0.1985,3.1203,2.1936,0.028
500,data1,0.5762,0.1664,0.1357,2.6387,2.0767,0.0087
500,data2,0.5646,0.1795,0.147,2.9181,2.0202,0.0179
500,data6,0.8401,0.202,0.193,3.2396,2.2627,0.0279
500,data4,0.6951,0.1821,0.1599,3.0799,2.0941,0.0191
600,data8,0.9407,0.2877,0.2334,2.8695,2.6506,0.0278
600,data3,0.8831,0.3483,0.2321,2.9763,2.5228,0.0258
600,data1,0.6796,0.1939,0.1706,2.5261,2.3955,0.0079
600,data2,0.7036,0.2537,0.1852,2.7645,2.2469,0.0166
600,data6,0.9889,0.2395,0.227,3.0973,2.5339,0.0259
600,data4,0.8474,0.2156,0.1941,2.9721,2.2679,0.0178
700,data8,1.0344,0.3498,0.2619,2.712,2.8611,0.0254
700,data3,0.9976,0.3873,0.268,2.8619,2.7272,0.0239
700,data1,0.8289,0.2477,0.2017,2.413,2.6043,0.0072
700,data2,0.7811,0.3095,0.2135,2.6245,2.4186,0.0153
700,data6,1.1179,0.3264,0.2639,2.962,2.7889,0.024
700,data4,0.9797,0.2742,0.2302,2.8299,2.5307,0.0165
800,data8,1.1125,0.3935,0.2843,2.5664,3.008,0.0284
800,data3,1.0847,0.4164,0.2944,2.7224,2.9653,0.0261
800,data1,0.9214,0.2771,0.2285,2.3093,2.8107,0.0002
800,data2,0.8947,0.3355,0.2386,2.5353,2.5991,0.0213
800,data6,1.2215,0.3638,0.2924,2.8615,2.9626,0.0309
800,data4,1.1119,0.334,0.267,2.7367,2.6917,0.0219
900,data8,1.1799,0.4278,0.3051,2.4445,3.1741,0.0263
900,data3,1.1663,0.4592,0.3195,2.6232,3.1288,0.0243
900,data1,0.9885,0.3438,0.2502,2.1967,2.8658,0.0002
900,data2,0.9691,0.374,0.2659,2.443,2.7345,0.0198
900,data6,1.3197,0.4145,0.322,2.7435,3.1483,0.0288
900,data4,1.1952,0.3942,0.2963,2.6242,2.8657,0.0203
1000,data8,1.2345,0.4597,0.3235,2.3463,3.3088,0.027
1000,data3,1.2368,0.5067,0.3397,2.5154,3.2999,0.0248
1000,data1,1.0391,0.3492,0.2707,2.1213,3.0429,0.0086
1000,data2,1.0559,0.4127,0.2865,2.3827,2.8995,0.0231
1000,data6,1.4015,0.4479,0.3457,2.6458,3.2637,0.0313
1000,data4,1.2644,0.4525,0.3233,2.5341,3.0005,0.0227
1100,data8,1.2829,0.4991,0.3388,2.2356,3.4577,0.0251
1100,data3,1.3047,0.5349,0.3614,2.4229,3.4392,0.0233
1100,data1,1.0624,0.4116,0.2838,2.0179,3.1206,0.008
1100,data2,1.1121,0.4542,0.3104,2.3148,3.0138,0.0216
1100,data6,1.4641,0.4953,0.3685,2.5395,3.4121,0.0294
1100,data4,1.3207,0.4945,0.3464,2.4489,3.1215,0.0213
1200,data8,1.3376,0.5149,0.3549,2.1541,3.5799,0.0277
1200,data3,1.3837,0.5764,0.3792,2.3452,3.5325,0.0277
1200,data1,1.1179,0.4378,0.297,1.965,3.2339,0.0072
1200,data2,1.1934,0.4787,0.3326,2.265,3.1537,0.0192
1200,data6,1.5261,0.5245,0.3882,2.4652,3.5445,0.0338
1200,data4,1.369,0.5486,0.3667,2.381,3.2109,0.0247
1300,data8,1.3701,0.5416,0.367,2.0799,3.6846,0.026
1300,data3,1.4264,0.6107,0.4002,2.2898,3.6599,0.0262
1300,data1,1.114,0.4596,0.3056,1.8709,3.3625,0.0068
1300,data2,1.2407,0.5246,0.3521,2.2109,3.248,0.0181
